src_ip,dst_ip,length,protocol,src_port,dst_port,flags,prediction
34.149.100.209,192.168.31.136,8526,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,4290,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,2878,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,5702,6,443,34554,PA,0
192.168.31.136,34.149.100.209,54,6,34554,443,A,0
34.149.100.209,192.168.31.136,1466,6,443,34554,PA,0
192.168.31.136,59.103.93.91,54,6,52958,80,FA,0
59.103.93.91,192.168.31.136,60,6,80,52958,A,0
59.103.93.91,192.168.31.136,60,6,80,52958,NONE,0
192.168.31.136,59.103.93.91,54,6,52958,80,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
,,42,0,0,0,NONE,1
,,60,0,0,0,NONE,1
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,34.36.137.203,93,6,32864,443,PA,0
34.36.137.203,192.168.31.136,60,6,443,32864,A,0
34.36.137.203,192.168.31.136,93,6,443,32864,PA,0
192.168.31.136,34.36.137.203,54,6,32864,443,A,0
192.168.31.136,34.160.144.191,100,6,59232,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,59232,A,0
34.160.144.191,192.168.31.136,100,6,443,59232,PA,0
192.168.31.136,34.160.144.191,54,6,59232,443,A,0
192.168.31.136,34.107.243.93,93,6,39560,443,PA,0
34.107.243.93,192.168.31.136,60,6,443,39560,A,0
34.107.243.93,192.168.31.136,93,6,443,39560,PA,0
192.168.31.136,34.107.243.93,54,6,39560,443,A,0
192.168.31.136,34.139.124.58,93,6,39250,443,PA,0
34.139.124.58,192.168.31.136,60,6,443,39250,A,0
34.139.124.58,192.168.31.136,93,6,443,39250,PA,0
192.168.31.136,34.139.124.58,54,6,39250,443,A,0
192.168.31.136,34.149.100.209,100,6,41230,443,PA,0
34.149.100.209,192.168.31.136,60,6,443,41230,A,0
34.149.100.209,192.168.31.136,100,6,443,41230,PA,0
192.168.31.136,34.149.100.209,54,6,41230,443,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
34.139.124.58,192.168.31.136,93,6,443,39250,PA,0
192.168.31.136,34.139.124.58,54,6,39250,443,A,0
192.168.31.136,34.139.124.58,93,6,39250,443,PA,0
34.139.124.58,192.168.31.136,78,6,443,39250,NONE,0
192.168.31.136,34.139.124.58,78,6,39250,443,PA,0
34.139.124.58,192.168.31.136,60,6,443,39250,A,0
192.168.31.136,34.139.124.58,54,6,39250,443,FA,0
34.139.124.58,192.168.31.136,60,6,443,39250,A,0
34.139.124.58,192.168.31.136,60,6,443,39250,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52946,A,0
192.168.31.136,59.103.93.91,54,6,52934,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52934,A,0
192.168.31.136,59.103.93.91,54,6,52926,80,A,0
59.103.93.91,192.168.31.136,60,6,80,52926,A,0
192.168.31.136,59.103.93.91,54,6,52946,80,A,0
,,60,0,0,0,NONE,1
,,42,0,0,0,NONE,1
